nje,outside
ndani,inside
nyuma,behind
hapa,here
mbele,in front of
baharini,in ocean
kati,between
chini,under
katikati,in the middle of
daraja,bridge
ng'ambo,across
kando,beside
kuzaliwa,to be born
kuzolea,to collect
kuchukuwa,to take
kuondolea,to remove
kuolewa,to marry/ get married
kubomolewa,to get demolished
kutolewa,to be given
kuweka,to put
kupokelewa,to be received
pafu,lung
mbwa,dog
paja,thigh
kujaiva,to be ripe
mkono,hand
kuvungika,to be broken
ulimi,tongue
meno/jino,teeth/tooth
uti wa mgongo,backbone
mwili,body
ini,liver
jicho,eye
mguu,leg/foot
bega,shoulder
seli/chembechembe,cell
misuli,muscles
damu,blood
tumbo,stomach
kichwa,head
nwele,hair
mafuta,oil
kinywa,mouth
mdomo,lips
vidole vya mguu,toes
shingo,neck
twiga,giraffe
pua,nose
kunusa,to sniff / smell
kuonja,to taste
kelele,noise
kuuma,to hurt
kuona ,to see
mifupa,bones
mbavu,ribs
mnyama,animal
kwa,by
Mvua,rain
jua,sun
upepo,wind
joto,heat/ hot weather
baridi,cold
masika,heavy rain / heavy rain season
kipupwe,cold season
kunyesha,to rain
hali ya hewa,weather
nchi,country
vuli,seasons of short rain (autumn/fall)
theluji,snow
mawingu,clouds
kiangazi/ msimu wa joto,summer
msimu,season 
radi,lightining
kuogopa,to be afraid of
ngurumo,thunder
daktari,doctor
kusimama,to stand
mlango,door
kesho,tomorrow
paka,cat
soko,market
kuchemsha,to boil
kufia,to die
kufiwa,to be bereaved of someone / to miss someone due to death
kuvaa,to put on/ to wear
